Sample_Number,SiO2,TiO2,Al2O3,Cr2O3,FeO,NiO,MnO,MgO,CaO,BaO,Na2O,K2O,P2O5,SO3,F,Cl,O,H2O,Mineral_Type
1,45.452,1.95465,8.88183,0.046551,11.8075,0.014759,0.261727,14.8663,11.1243,0.040001,2.05904,0.409765,-0.00038,-0.00725,0.085335,0.06703,-0.05106,2,Amphibole
2,45.32,1.86652,8.84506,0.005069,11.4224,0.006222,0.273957,15.1027,10.9566,0.03427,2.1473,0.323084,0.007126,-0.00842,0.041436,0.034397,-0.0252,2,Amphibole
4,45.9171,2.00858,7.89465,0.017922,11.7397,-0.00131,0.265079,15.2327,10.9396,0.002357,1.8457,0.476859,0.006957,-0.00575,0.06466,0.06516,-0.04192,2,Amphibole
6,42.8324,2.09882,11.0596,0.017815,11.6873,0.019318,0.224677,14.5608,11.069,-5e-05,2.50356,0.306226,0.028826,0.007279,0.08207,0.013131,-0.03753,2,Amphibole
8,43.8673,2.205,10.5245,0.034507,11.6937,-0.01559,0.230936,14.6548,11.0661,-0.00374,2.44468,0.312449,0.062473,0.013154,0.043325,0.02009,-0.02278,2,Amphibole
9,44.3143,2.20368,10.0208,-0.00523,11.4495,-0.02495,0.273319,14.9426,10.6926,-0.0181,2.37277,0.294889,0.090581,-0.00814,0.046459,0.016971,-0.02339,2,Amphibole
10,44.7409,2.09751,9.08417,0.008053,11.8187,0.006898,0.26252,14.7792,11.1221,0.007812,2.17583,0.395892,0.018583,0.010078,0.082409,0.038036,-0.04329,2,Amphibole
12,41.8479,2.2762,12.5233,0.008862,11.4214,0.007189,0.258498,14.2563,11.6964,0.00962,2.3614,0.633137,0.009622,0.004125,0.102559,0.066315,-0.05816,2,Amphibole
14,42.1657,2.03957,12.626,0.025358,11.1466,0.00103,0.220587,14.2736,11.3727,0.03296,2.36763,0.63548,0.009928,0.001627,0.177428,0.053088,-0.08671,2,Amphibole
16,42.1309,2.06051,12.5816,0.064109,10.6919,0.002209,0.275713,14.2733,11.6498,-0.01676,2.3219,0.565539,0.004254,0.003296,0.152036,0.034492,-0.07181,2,Amphibole
17,41.8917,2.13826,12.6257,0.092964,11.0569,-0.00459,0.292381,14.1999,11.2427,0.006707,2.36766,0.585453,-0.00024,-0.00697,0.152836,0.052879,-0.07628,2,Amphibole
18,41.7838,2.10982,12.6657,0.061515,10.9486,-0.0042,0.262676,14.0344,11.3817,0.005947,2.44988,0.48299,-0.00166,0.007489,0.118994,0.031558,-0.05723,2,Amphibole
19,41.4459,2.38396,12.8044,-0.00805,11.8669,0.002145,0.316319,13.4129,11.4994,0.030279,2.40151,0.49666,0.012353,0.003859,0.08283,0.041735,-0.04431,2,Amphibole
20,47.6383,1.76987,7.00512,0.007207,11.1308,0.002579,0.403253,15.9968,11.1935,0.011372,1.80923,0.290558,0.004491,-0.00226,0.115333,0.017999,-0.05264,2,Amphibole
21,43.3006,1.74586,11.1536,0.089923,10.4956,0.009091,0.196559,14.8856,11.4077,-0.00588,2.48084,0.451788,-0.00125,-0.00929,0.42298,0.015279,-0.18157,2,Amphibole
28,44.9179,2.1074,7.53501,0.030881,11.6197,-0.00033,0.215071,15.2865,11.2171,-0.00282,1.99368,0.676448,0.031056,0.013723,0.282185,0.10962,-0.14357,2,Amphibole
32,44.6718,0.100063,0.517558,-0.01172,4.05937,-0.06491,0.216231,13.8567,15.5717,-0.03721,0.429858,-0.00748,0.016663,-0.00543,0.080487,-0.00159,-0.03354,2,Amphibole
