Cl,FeO
0.06703,11.8075
0.034397,11.4224
0.042359,12.0803
0.06516,11.7397
0.062425,12.2652
0.013131,11.6873
0.020092,12.5938
0.02009,11.6937
0.016971,11.4495
0.038036,11.8187
0.002094,17.829
0.066315,11.4214
0.001683,7.4986
0.053088,11.1466
-0.00029,0.339835
0.034492,10.6919
0.052879,11.0569
0.031558,10.9486
0.041735,11.8669
0.017999,11.1308
0.015279,10.4956
0.067318,12.7267
0.115466,13.1746
0.041853,12.4183
0.062746,13.16
0.001753,19.0338
0.001774,19.147
0.10962,11.6197
-0.00479,17.9019
-0.00109,14.4491
0.003298,15.4255
-0.00159,4.05937
0.06362,12.3079
0.053652,12.5197
0.032871,11.364
-0.00034,6.44837
0.010088,7.8624
0.009287,7.37071
0.016377,6.41442
0.017649,7.14711
0.05365,12.1033
0.027271,10.5444
0.043837,11.7646
0.039466,11.3251
0.038218,11.0696
0.004434,5.56617
0.013693,15.5838
0.063622,12.3343
0.042417,12.5582
0.058196,11.9716
0.040082,11.2634
0.012847,7.45061
0.006563,15.7637
0.006956,15.8482
0.043287,11.4224
0.028038,11.0139
0.046527,11.1627
0.040133,10.9758
0.036403,11.4361
0.036215,11.525
0.0355,13.3506
0.038538,11.6371
