Sample_Number,SiO2,TiO2,Al2O3,Cr2O3,FeO,NiO,MnO,MgO,CaO,BaO,Na2O,K2O,P2O5,SO3,F,Cl,O,H2O,Mineral_Type
11,53.4882,0.183858,0.556373,-0.00565,17.829,0.000665,1.15937,24.8665,0.947378,0.046579,0.022296,-0.00389,-0.01063,-0.00862,-0.02529,0.002094,0.01017,2,Clinopyroxene
13,53.202,0.140879,0.825663,0.046406,7.4986,0.004587,0.474606,15.0762,21.7457,-0.03729,0.421146,0.002099,0.000302,-0.02795,0.024617,0.001683,-0.01074,2,Clinopyroxene
26,53.2359,0.210813,0.553326,0.02254,19.0338,0.006101,0.800437,24.0332,1.3018,-0.00721,-0.00302,-0.0016,-0.00206,0.001104,-0.03144,0.001753,0.012833,2,Clinopyroxene
27,52.8427,0.24568,0.478004,0.025976,19.147,0.005081,0.787022,24.3662,0.878543,0.025789,0.022001,0.006073,-0.00234,-0.01101,0.008738,0.001774,-0.00407,2,Clinopyroxene
29,53.2144,0.397853,0.386623,-0.00401,17.9019,-0.00341,0.784226,23.1624,3.11783,-0.00055,0.103061,-0.00934,0.00478,-0.01267,0.001148,-0.00479,0.000607,2,Clinopyroxene
30,54.0424,0.152376,0.450085,-0.00395,14.4491,-0.00219,0.543698,23.328,5.47471,0.008198,0.119992,0.011273,0.002677,0.01341,-0.01738,-0.00109,0.007557,2,Clinopyroxene
31,53.5789,0.35066,1.01767,0.004734,15.4255,0.005715,0.518763,24.4559,3.47343,0.019391,0.094842,0.160028,0.005827,0.034049,-0.02365,0.003298,0.009216,2,Clinopyroxene
37,52.0321,0.297387,1.02053,-0.00999,7.8624,0.005306,0.453539,15.3061,21.0705,-0.00725,0.382404,0.010909,0.025825,0.020163,-0.01211,0.010088,0.002823,2,Clinopyroxene
38,53.0839,0.603941,3.71619,-0.0054,7.37071,0.002077,0.340022,13.0989,18.2697,0.034345,0.604757,0.597458,0.013772,0.028473,-0.01056,0.009287,0.002346,2,Clinopyroxene
47,52.6312,0.345525,1.40553,0.000134,15.5838,-0.0076,0.720928,25.1413,1.88985,0.002733,0.013585,0.0016,0.010752,-0.00491,-0.02087,0.013693,0.005703,2,Clinopyroxene
53,52.5505,0.314142,1.55952,-0.00541,15.7637,-0.02657,0.695649,25.7547,1.32433,-0.00256,0.017042,0.006078,0.019865,0.014332,-0.03129,0.006563,0.011703,2,Clinopyroxene
54,52.7869,0.306919,1.62485,0.001039,15.8482,-0.00054,0.72049,25.1886,1.35775,0.02809,0.052041,0.040131,0.012305,0.017124,-0.03066,0.006956,0.011337,2,Clinopyroxene
