SiO2,TiO2,Al2O3,Cr2O3,FeO,NiO,MnO,MgO,CaO,BaO,Na2O,K2O,P2O5,SO3,F,Cl,O,H2O
45.452,1.95465,8.88183,0.046551,11.8075,0.014759,0.261727,14.8663,11.1243,0.040001,2.05904,0.409765,-0.00038,-0.00725,0.085335,0.06703,-0.05106,2
45.32,1.86652,8.84506,0.005069,11.4224,0.006222,0.273957,15.1027,10.9566,0.03427,2.1473,0.323084,0.007126,-0.00842,0.041436,0.034397,-0.0252,2
43.7609,1.93436,10.1553,0.044642,12.0803,0.008884,0.278943,14.4223,11.1306,0.005319,2.28306,0.335274,0.031503,-0.00457,0.065727,0.042359,-0.03724,2
45.9171,2.00858,7.89465,0.017922,11.7397,-0.00131,0.265079,15.2327,10.9396,0.002357,1.8457,0.476859,0.006957,-0.00575,0.06466,0.06516,-0.04192,2
44.0978,2.30811,9.31086,0.023971,12.2652,-0.00633,0.250498,14.4161,11.1377,0.001887,2.09481,0.476847,0.019694,-0.01489,0.068555,0.062425,-0.04295,2
42.8324,2.09882,11.0596,0.017815,11.6873,0.019318,0.224677,14.5608,11.069,-0.00005,2.50356,0.306226,0.028826,0.007279,0.08207,0.013131,-0.03753,2
43.6257,1.90883,10.7266,0.013026,12.5938,-0.01345,0.314772,14.4177,10.8149,0.007644,2.4628,0.280126,0.068088,-0.01319,0.061545,0.020092,-0.03045,2
43.8673,2.205,10.5245,0.034507,11.6937,-0.01559,0.230936,14.6548,11.0661,-0.00374,2.44468,0.312449,0.062473,0.013154,0.043325,0.02009,-0.02278,2
44.3143,2.20368,10.0208,-0.00523,11.4495,-0.02495,0.273319,14.9426,10.6926,-0.0181,2.37277,0.294889,0.090581,-0.00814,0.046459,0.016971,-0.02339,2
44.7409,2.09751,9.08417,0.008053,11.8187,0.006898,0.26252,14.7792,11.1221,0.007812,2.17583,0.395892,0.018583,0.010078,0.082409,0.038036,-0.04329,2
53.4882,0.183858,0.556373,-0.00565,17.829,0.000665,1.15937,24.8665,0.947378,0.046579,0.022296,-0.00389,-0.01063,-0.00862,-0.02529,0.002094,0.01017,2
41.8479,2.2762,12.5233,0.008862,11.4214,0.007189,0.258498,14.2563,11.6964,0.00962,2.3614,0.633137,0.009622,0.004125,0.102559,0.066315,-0.05816,2
53.202,0.140879,0.825663,0.046406,7.4986,0.004587,0.474606,15.0762,21.7457,-0.03729,0.421146,0.002099,0.000302,-0.02795,0.024617,0.001683,-0.01074,2
42.1657,2.03957,12.626,0.025358,11.1466,0.00103,0.220587,14.2736,11.3727,0.03296,2.36763,0.63548,0.009928,0.001627,0.177428,0.053088,-0.08671,2
58.3298,0.005733,26.1977,0.004267,0.339835,-0.00217,-0.0017,0.037532,7.66186,0.031505,7.05368,0.310729,0.01182,-0.01035,-0.09593,-0.00029,0.040447,2
42.1309,2.06051,12.5816,0.064109,10.6919,0.002209,0.275713,14.2733,11.6498,-0.01676,2.3219,0.565539,0.004254,0.003296,0.152036,0.034492,-0.07181,2
41.8917,2.13826,12.6257,0.092964,11.0569,-0.00459,0.292381,14.1999,11.2427,0.006707,2.36766,0.585453,-0.00024,-0.00697,0.152836,0.052879,-0.07628,2
41.7838,2.10982,12.6657,0.061515,10.9486,-0.0042,0.262676,14.0344,11.3817,0.005947,2.44988,0.48299,-0.00166,0.007489,0.118994,0.031558,-0.05723,2
41.4459,2.38396,12.8044,-0.00805,11.8669,0.002145,0.316319,13.4129,11.4994,0.030279,2.40151,0.49666,0.012353,0.003859,0.08283,0.041735,-0.04431,2
47.6383,1.76987,7.00512,0.007207,11.1308,0.002579,0.403253,15.9968,11.1935,0.011372,1.80923,0.290558,0.004491,-0.00226,0.115333,0.017999,-0.05264,2
43.3006,1.74586,11.1536,0.089923,10.4956,0.009091,0.196559,14.8856,11.4077,-0.00588,2.48084,0.451788,-0.00125,-0.00929,0.42298,0.015279,-0.18157,2
41.7399,3.20009,10.9902,0.043595,12.7267,0.029709,0.206732,13.2674,11.5585,0.050512,2.54206,0.718758,0.052175,0.004327,0.288421,0.067318,-0.13665,2
42.4483,3.13973,10.1457,0.054652,13.1746,0.001027,0.211039,13.2781,11.4493,0.024287,2.50085,0.746275,0.037587,-0.00442,0.278613,0.115466,-0.14338,2
42.4083,3.25936,10.8445,0.030861,12.4183,0.012137,0.251146,13.6022,11.3953,0.031624,2.63829,0.476237,0.032273,-0.00385,0.294329,0.041853,-0.13339,2
41.8608,3.28299,10.6248,0.032718,13.16,-0.00094,0.207722,13.1267,11.3354,0.017868,2.70812,0.664433,0.033256,0.014246,0.260003,0.062746,-0.12365,2
53.2359,0.210813,0.553326,0.02254,19.0338,0.006101,0.800437,24.0332,1.3018,-0.00721,-0.00302,-0.0016,-0.00206,0.001104,-0.03144,0.001753,0.012833,2
52.8427,0.24568,0.478004,0.025976,19.147,0.005081,0.787022,24.3662,0.878543,0.025789,0.022001,0.006073,-0.00234,-0.01101,0.008738,0.001774,-0.00407,2
44.9179,2.1074,7.53501,0.030881,11.6197,-0.00033,0.215071,15.2865,11.2171,-0.00282,1.99368,0.676448,0.031056,0.013723,0.282185,0.10962,-0.14357,2
53.2144,0.397853,0.386623,-0.00401,17.9019,-0.00341,0.784226,23.1624,3.11783,-0.00055,0.103061,-0.00934,0.00478,-0.01267,0.001148,-0.00479,0.000607,2
54.0424,0.152376,0.450085,-0.00395,14.4491,-0.00219,0.543698,23.328,5.47471,0.008198,0.119992,0.011273,0.002677,0.01341,-0.01738,-0.00109,0.007557,2
53.5789,0.35066,1.01767,0.004734,15.4255,0.005715,0.518763,24.4559,3.47343,0.019391,0.094842,0.160028,0.005827,0.034049,-0.02365,0.003298,0.009216,2
44.6718,0.100063,0.517558,-0.01172,4.05937,-0.06491,0.216231,13.8567,15.5717,-0.03721,0.429858,-0.00748,0.016663,-0.00543,0.080487,-0.00159,-0.03354,2
40.0706,3.05933,10.4446,0.071706,12.3079,0.029842,0.211829,13.5183,10.9279,0.030133,2.23881,0.414113,0.018554,0.052552,0.04283,0.06362,-0.03239,2
41.0881,2.58241,10.5278,0.063665,12.5197,0.022364,0.256304,13.952,11.2038,0.032883,2.39303,0.448718,0.031765,0.001374,0.047279,0.053652,-0.03203,2
41.2835,3.1689,10.1943,0.011394,11.364,0.000094,0.196251,14.3552,10.7374,0.052621,2.6933,0.392836,0.023588,0.000616,0.140972,0.032871,-0.06678,2
51.2483,0.393742,2.31277,0.086063,6.44837,0.029427,0.17414,16.4387,20.7438,-0.01222,0.197907,0.001582,0.006434,0.012681,-0.00072,-0.00034,0.000378,2
52.0321,0.297387,1.02053,-0.00999,7.8624,0.005306,0.453539,15.3061,21.0705,-0.00725,0.382404,0.010909,0.025825,0.020163,-0.01211,0.010088,0.002823,2
53.0839,0.603941,3.71619,-0.0054,7.37071,0.002077,0.340022,13.0989,18.2697,0.034345,0.604757,0.597458,0.013772,0.028473,-0.01056,0.009287,0.002346,2
50.7757,0.385162,2.28714,0.141796,6.41442,0.009702,0.16496,16.5163,21.0377,-0.03723,0.19734,0.004854,0.00639,-0.01308,0.015321,0.016377,-0.01015,2
51.729,0.505487,2.74871,0.010725,7.14711,-0.00449,0.208223,16.0787,20.5732,0.00283,0.209313,0.01848,0.016375,0.008148,-0.01377,0.017649,0.00182,2
42.574,3.18203,10.663,0.043047,12.1033,0.011302,0.176499,13.7823,11.084,0.004618,2.27408,0.476048,0.016109,0.017449,0.04774,0.05365,-0.03221,2
44.0521,0.785285,11.2178,0.285477,10.5444,0.007558,0.203251,15.1822,11.4723,-0.03363,2.06483,0.374299,0.020519,0.029477,0.091454,0.027271,-0.04466,2
42.4688,3.28719,10.9826,0.075924,11.7646,0.035182,0.186754,13.8067,11.1938,0.036243,2.31895,0.441475,0.035012,0.016147,0.057214,0.043837,-0.03399,2
43.0725,3.01134,10.0592,0.030641,11.3251,0.002543,0.239128,14.5399,11.083,0.004205,2.79195,0.413526,0.018047,0.019548,0.170295,0.039466,-0.08062,2
43.2861,3.01982,9.98999,0.001053,11.0696,-0.00544,0.209843,14.7137,10.956,0.01081,2.75837,0.406704,0.044342,0.022671,0.101744,0.038218,-0.05147,2
49.7632,0.630263,4.38412,0.598572,5.56617,0.018671,0.146761,15.2728,22.1721,0.00218,0.309515,0.009099,0.021905,-0.00053,0.003444,0.004434,-0.00245,2
52.6312,0.345525,1.40553,0.000134,15.5838,-0.0076,0.720928,25.1413,1.88985,0.002733,0.013585,0.0016,0.010752,-0.00491,-0.02087,0.013693,0.005703,2
42.8716,3.0757,9.88182,0.010027,12.3343,-0.00496,0.287616,13.7439,11.1768,0.015973,2.31851,0.559431,0.026045,0.01148,0.057549,0.063622,-0.0386,2
43.2701,2.74109,9.81442,0.001112,12.5582,0.022613,0.316419,13.7958,11.1074,0.046408,2.2914,0.512734,0.023202,0.008635,0.099083,0.042417,-0.05129,2
