Sample_Number,SiO2,TiO2,Al2O3,Cr2O3,FeO,NiO,MnO,MgO,CaO,BaO,Na2O,K2O,P2O5,SO3,F,Cl,O,H2O,Mineral_Type
3,43.7609,1.93436,10.1553,0.044642,12.0803,0.008884,0.278943,14.4223,11.1306,0.005319,2.28306,0.335274,0.031503,-0.00457,0.065727,0.042359,-0.03724,2,Orthopyroxene
5,44.0978,2.30811,9.31086,0.023971,12.2652,-0.00633,0.250498,14.4161,11.1377,0.001887,2.09481,0.476847,0.019694,-0.01489,0.068555,0.062425,-0.04295,2,Orthopyroxene
7,43.6257,1.90883,10.7266,0.013026,12.5938,-0.01345,0.314772,14.4177,10.8149,0.007644,2.4628,0.280126,0.068088,-0.01319,0.061545,0.020092,-0.03045,2,Orthopyroxene
22,41.7399,3.20009,10.9902,0.043595,12.7267,0.029709,0.206732,13.2674,11.5585,0.050512,2.54206,0.718758,0.052175,0.004327,0.288421,0.067318,-0.13665,2,Orthopyroxene
23,42.4483,3.13973,10.1457,0.054652,13.1746,0.001027,0.211039,13.2781,11.4493,0.024287,2.50085,0.746275,0.037587,-0.00442,0.278613,0.115466,-0.14338,2,Orthopyroxene
24,42.4083,3.25936,10.8445,0.030861,12.4183,0.012137,0.251146,13.6022,11.3953,0.031624,2.63829,0.476237,0.032273,-0.00385,0.294329,0.041853,-0.13339,2,Orthopyroxene
25,41.8608,3.28299,10.6248,0.032718,13.16,-0.00094,0.207722,13.1267,11.3354,0.017868,2.70812,0.664433,0.033256,0.014246,0.260003,0.062746,-0.12365,2,Orthopyroxene
33,40.0706,3.05933,10.4446,0.071706,12.3079,0.029842,0.211829,13.5183,10.9279,0.030133,2.23881,0.414113,0.018554,0.052552,0.04283,0.06362,-0.03239,2,Orthopyroxene
34,41.0881,2.58241,10.5278,0.063665,12.5197,0.022364,0.256304,13.952,11.2038,0.032883,2.39303,0.448718,0.031765,0.001374,0.047279,0.053652,-0.03203,2,Orthopyroxene
41,42.574,3.18203,10.663,0.043047,12.1033,0.011302,0.176499,13.7823,11.084,0.004618,2.27408,0.476048,0.016109,0.017449,0.04774,0.05365,-0.03221,2,Orthopyroxene
48,42.8716,3.0757,9.88182,0.010027,12.3343,-0.00496,0.287616,13.7439,11.1768,0.015973,2.31851,0.559431,0.026045,0.01148,0.057549,0.063622,-0.0386,2,Orthopyroxene
49,43.2701,2.74109,9.81442,0.001112,12.5582,0.022613,0.316419,13.7958,11.1074,0.046408,2.2914,0.512734,0.023202,0.008635,0.099083,0.042417,-0.05129,2,Orthopyroxene
61,42.4757,1.97151,10.7769,0.025614,13.3506,-0.00389,0.296477,13.5633,10.9457,-0.00918,2.18433,0.462212,0.028959,-0.01148,0.051277,0.0355,-0.0296,2,Orthopyroxene
